SE RIBEIRO GONÇALVES FID=SEL-421-R117-V0-Z007007-D20060413
23:18,9
Cycles, IAW A, IBW B, ICW C, VAY A, VBY B, VCY C, TRIP
5.22, -1326.65174, 856.44606, 497.074576, -393.988765, 321.717417, 71.172164, 0
5.25, -1353.520636, 661.646564, 725.460192, -415.903746, 269.30008, 145.710579, 0
5.28, -1313.217292, 423.185112, 906.82524, -422.224054, 207.608378, 214.615676, 0
5.31, -1242.68644, 171.289212, 1084.831676, -408.552953, 134.169147, 274.727301, 0
5.34, -1115.059184, -94.041136, 1225.89338, -385.126594, 55.508792, 331.610073, 0
5.37, -957.20442, -349.295648, 1309.85868, -347.61694, -24.662941, 374.615647, 0
5.4, -779.197984, -584.398488, 1356.879248, -296.161389, -104.285082, 403.95012, 0
5.43, -560.888204, -799.349656, 1346.803412, -240.034306, -174.564159, 419.476094, 0
5.46, -315.709528, -987.431928, 1299.782844, -171.335306, -239.75951, 414.323669, 0
5.49, -53.737792, -1145.286692, 1199.024484, -94.942018, -299.390242, 397.423715, 0
5.52, 211.592556, -1259.4795, 1047.886944, -16.212964, -348.372629, 367.333553, 0
5.55, 453.41262, -1330.010352, 893.390792, 63.821371, -386.844069, 324.121882, 0
5.58, 685.156848, -1353.520636, 698.591296, 139.939863, -413.361883, 273.284622, 0
5.61, 879.956344, -1333.368964, 453.41262, 209.325853, -420.712676, 210.356338, 0
5.64, 1054.604168, -1252.762276, 198.158108, 271.635846, -411.781806, 138.703281, 0
5.67, 1195.665872, -1128.493632, -67.17224, 327.419434, -388.492845, 60.661217, 0
5.7, 1299.782844, -980.714704, -312.350916, 371.730289, -352.288472, -19.441817, 0
5.73, 1350.162024, -795.991044, -560.888204, 401.957849, -305.504453, -95.972503, 0
5.76, 1343.4448, -570.96404, -775.839372, 420.025686, -250.407855, -169.274336, 0
5.79, 1299.782844, -329.143976, -967.280256, 419.201298, -184.182019, -235.156677, 0
5.82, 1212.458932, -73.889464, -1128.493632, 400.583869, -107.926129, -294.169118, 0
5.85, 1064.680004, 194.799496, -1246.045052, 373.72256, -29.403172, -347.479542, 0
5.88, 903.466628, 439.978172, -1323.293128, 330.716986, 51.455551, -385.538788, 0
5.91, 708.667132, 675.081012, -1353.520636, 277.612659, 127.986237, -410.270428, 0
5.94, 490.357352, 869.880508, -1333.368964, 218.600218, 196.204344, -419.407395, 0
5.97, 241.820064, 1057.96278, -1262.838112, 145.916676, 260.094414, -409.789535, 0
6, -26.868896, 1188.948648, -1145.286692, 68.836398, 317.045885, -389.179835, 0
6.03, -278.764796, 1289.707008, -987.431928, -10.30485, 362.387225, -354.830335, 0
6.06, -520.58486, 1346.803412, -812.784104, -90.407884, 397.629812, -308.321112, 0
6.09, -742.253252, 1353.520636, -601.191548, -163.434921, 417.140328, -255.079387, 0
6.12, -933.694136, 1303.141456, -362.730096, -231.584329, 419.132599, -187.685668, 0
6.15, -1101.624736, 1219.176156, -90.682524, -290.940265, 404.843207, -113.971641, 0
6.18, -1229.251992, 1091.5489, 161.213376, -344.525485, 377.913199, -33.456413, 0
6.21, -1316.575904, 920.259688, 409.750664, -383.546517, 337.380789, 45.822233, 0
6.24, -1353.520636, 725.460192, 648.212116, -409.926933, 288.123606, 120.841541, 0
6.27, -1333.368964, 510.509024, 849.728836, -422.224054, 229.798155, 191.807608, 0
6.3, -1272.913948, 251.8959, 1024.37666, -414.048873, 159.793874, 254.529795, 0
6.33, -1155.362528, -13.434448, 1178.872812, -393.164377, 82.232703, 312.374353, 0
6.36, -1010.942212, -272.047572, 1286.348396, -361.219342, 2.885358, 361.219342, 0
6.39, -839.653, -517.226248, 1350.162024, -313.404838, -78.385559, 394.813153, 0
6.42, -621.34322, -738.89464, 1360.23786, -259.68222, -151.962188, 416.178542, 0
6.45, -399.674828, -923.6183, 1319.934516, -195.654752, -218.806315, 418.37691, 0
6.48, -137.703092, -1094.907512, 1232.610604, -120.635444, -280.910211, 404.980605, 0
6.51, 127.627256, -1225.89338, 1094.907512, -43.692564, -333.396247, 379.699373, 0
6.54, 379.523156, -1316.575904, 950.487196, 37.372256, -375.852229, 340.128749, 0
6.57, 607.908772, -1350.162024, 752.329088, 114.796029, -406.01109, 291.833352, 0
6.6, 819.501328, -1340.086188, 527.302084, 186.998678, -420.300482, 232.614814, 0
6.63, 997.507764, -1276.27256, 288.840632, 251.781835, -416.31594, 163.297523, 0
6.66, 1155.362528, -1178.872812, 20.151672, 309.488995, -397.76721, 87.385128, 0
6.69, 1269.555336, -1031.093884, -235.10284, 358.883576, -366.096971, 6.801201, 0
6.72, 1340.086188, -856.44606, -473.564292, 392.95828, -321.992213, -70.347776, 0
6.75, 1356.879248, -644.853504, -705.30852, 415.148057, -269.712274, -145.023589, 0
6.78, 1313.217292, -413.109276, -903.466628, 421.193569, -208.089271, -213.585191, 0
6.81, 1242.68644, -157.854764, -1084.831676, 407.110274, -134.306545, -274.040311, 0
6.84, 1121.776408, 107.475584, -1212.458932, 383.958711, -56.058384, -331.060481, 0
6.87, 960.563032, 366.088708, -1309.85868, 346.861251, 24.388145, -374.478249, 0
6.9, 782.556596, 597.832936, -1356.879248, 296.367486, 104.010286, -404.293615, 0
6.93, 560.888204, 812.784104, -1343.4448, 240.4465, 174.564159, -419.956987, 0
6.96, 322.426752, 984.073316, -1293.06562, 172.228393, 239.828209, -416.109843, 0
6.99, 60.455016, 1141.92808, -1185.590036, 95.148115, 299.665038, -398.728996, 0
7.02, -184.72366, 1252.762276, -1041.16972, 16.625158, 348.578726, -368.707533, 0
7.05, -443.336784, 1340.086188, -873.23912, -64.302264, 386.912768, -324.671474, 0
7.08, -665.005176, 1356.879248, -668.363788, -140.14596, 413.224485, -274.177709, 0
7.11, -869.880508, 1323.293128, -446.695396, -209.53195, 420.300482, -211.043328, 0
7.14, -1051.245556, 1249.403664, -188.082272, -272.597632, 411.575709, -138.77198, 0
7.17, -1192.30726, 1138.569468, 80.606688, -327.625531, 388.355447, -60.867314, 0
7.2, -1293.06562, 977.356092, 325.785364, -372.417279, 351.876278, 20.403603, 0
7.23, -1343.4448, 795.991044, 577.681264, -402.301344, 305.435754, 95.972503, 0
7.26, -1350.162024, 584.398488, 789.27382, -420.231783, 249.720865, 169.549132, 0
7.29, -1289.707008, 345.937036, 973.99748, -419.956987, 184.044621, 235.843667, 0
7.32, -1199.024484, 80.606688, 1138.569468, -401.408257, 107.720032, 294.443914, 0
7.35, -1064.680004, -181.365048, 1252.762276, -374.753045, 28.85358, 348.30393, 0
7.38, -900.108016, -429.902336, 1333.368964, -331.266578, -51.52425, 385.470089, 0
7.41, -701.949908, -658.287952, 1360.23786, -278.437047, -129.085421, 411.781806, 0
7.44, -476.922904, -863.163284, 1336.727576, -218.600218, -196.685237, 419.75089, 0
7.47, -235.10284, -1047.886944, 1266.196724, -145.916676, -260.163113, 409.514739, 0
7.5, 43.661956, -1188.948648, 1148.645304, -68.905097, -317.045885, 389.248534, 0
7.53, 295.557856, -1286.348396, 994.149152, 10.579646, -362.73072, 354.005947, 0
7.56, 530.660696, -1343.4448, 826.218552, 90.201787, -397.698511, 307.840219, 0
7.59, 748.970476, -1356.879248, 611.267384, 163.915814, -417.552522, 253.430611, 0
7.62, 940.41136, -1309.85868, 376.164544, 231.103436, -419.407395, 187.136076, 0
7.65, 1101.624736, -1215.817544, 114.192808, 291.421158, -405.667595, 113.490748, 0
7.68, 1232.610604, -1081.473064, -147.778928, 344.113291, -377.981898, 33.731209, 0
7.71, 1316.575904, -920.259688, -399.674828, 382.996925, -337.449488, -45.478738, 0
7.74, 1353.520636, -715.384356, -634.777668, 409.514739, -288.261004, -120.566745, 0
7.77, 1336.727576, -500.433188, -836.294388, 421.949258, -229.729456, -192.3572, 0
7.8, 1282.989784, -245.178676, -1027.735272, 414.392368, -159.450379, -255.354183, 0
7.83, 1165.438364, 13.434448, -1168.796976, 392.820882, -81.957907, -313.130042, 0
7.86, 1024.37666, 278.764796, -1279.631172, 361.35674, -2.267067, -362.04373, 0
7.89, 832.935776, 527.302084, -1346.803412, 313.26744, 77.698569, -395.01925, 0
7.92, 638.13628, 752.329088, -1353.520636, 259.338725, 151.275198, -415.697649, 0
7.95, 406.392052, 926.976912, -1313.217292, 195.654752, 218.188024, -418.37691, 0
7.98, 151.13754, 1094.907512, -1222.534768, 119.948454, 279.948425, -404.087518, 0
8.01, -114.192808, 1232.610604, -1104.983348, 43.005574, 333.396247, -379.974169, 0
8.04, -362.730096, 1313.217292, -937.052748, -37.234858, 375.027841, -340.197448, 0
8.07, -601.191548, 1353.520636, -745.611864, -115.345621, 406.491983, -292.589041, 0
8.1, -816.142716, 1343.4448, -517.226248, -186.998678, 419.888288, -233.5766, 0
8.13, -990.79054, 1282.989784, -275.406184, -252.056631, 415.903746, -163.915814, 0
8.16, -1141.92808, 1178.872812, -10.075836, -310.313383, 397.698511, -87.728623, 0
8.19, -1259.4795, 1037.811108, 245.178676, -359.29577, 366.028272, -6.732502, 0
8.22, -1330.010352, 863.163284, 493.715964, -394.263561, 321.717417, 71.653057, 0
8.25, -1350.162024, 654.92934, 722.10158, -415.972445, 269.643575, 145.435783, 0
8.28, -1316.575904, 423.185112, 910.183852, -421.880559, 207.814475, 213.859987, 0
8.31, -1232.610604, 167.9306, 1081.473064, -408.003361, 134.65004, 274.10901, 0
8.34, -1115.059184, -97.399748, 1215.817544, -384.370905, 56.195782, 330.304792, 0
8.37, -957.20442, -356.012872, 1306.500068, -346.723853, -24.594242, 373.310366, 0
8.4, -769.122148, -594.474324, 1363.596472, -295.611797, -104.078985, 403.194431, 0
8.43, -554.17098, -799.349656, 1350.162024, -240.240403, -174.220664, 418.995201, 0
8.46, -315.709528, -987.431928, 1293.06562, -171.404005, -240.240403, 415.079358, 0
8.49, -47.020568, -1138.569468, 1188.948648, -95.49161, -299.596339, 398.042006, 0
8.52, 208.233944, -1262.838112, 1051.245556, -16.556459, -348.578726, 367.814446, 0
8.55, 453.41262, -1333.368964, 893.390792, 63.615274, -387.118865, 324.740173, 0
8.58, 681.798236, -1356.879248, 685.156848, 139.252873, -413.293184, 273.765515, 0
8.61, 879.956344, -1323.293128, 453.41262, 209.600649, -420.781375, 210.150241, 0
8.64, 1057.96278, -1249.403664, 198.158108, 271.841943, -412.056602, 139.184174, 0
8.67, 1195.665872, -1131.852244, -73.889464, 327.419434, -388.424146, 60.592518, 0
8.7, 1299.782844, -970.638868, -315.709528, 371.798988, -352.769365, -19.167021, 0
8.73, 1353.520636, -792.632432, -557.529592, 401.545655, -305.229657, -95.629008, 0
8.76, 1350.162024, -570.96404, -779.197984, 419.407395, -250.407855, -168.99954, 0
8.79, 1303.141456, -329.143976, -980.714704, 418.308211, -184.456815, -234.332289, 0
